"TS","N","MBYTES"
"2013-07-30 03:00:00",13,9741.04
"2013-07-30 04:00:00",19,14291.32
"2013-07-30 05:00:00",20,15049.4
"2013-07-30 06:00:00",12,9069.84
"2013-07-30 07:00:00",77,67061.22
"2013-07-30 08:00:00",9,7203.54
"2013-07-30 09:00:00",23,17563.42
"2013-07-30 10:00:00",6,3999.63
"2013-07-30 11:00:00",9,6529.48
"2013-07-30 12:00:00",9,5956.85
"2013-07-30 13:00:00",13,9446.98
"2013-07-30 14:00:00",5,2995.88
"2013-07-30 15:00:00",4,2308.1
"2013-07-30 16:00:00",9,6357.97
"2013-07-30 17:00:00",10,7572
"2013-07-30 18:00:00",4,1944.64
"2013-07-30 19:00:00",8,5732.69
"2013-07-30 20:00:00",22,16179.34
"2013-07-30 21:00:00",4,1281.02
"2013-07-30 22:00:00",5,2274.48
"2013-07-30 23:00:00",9,6341.43
"2013-07-31 00:00:00",18,13542.26
"2013-07-31 01:00:00",17,12754.46
"2013-07-31 02:00:00",19,14253.97
"2013-07-31 03:00:00",19,14272.84
"2013-07-31 04:00:00",24,18061.54
"2013-07-31 05:00:00",10,7489.18
"2013-07-31 06:00:00",19,15206.43
"2013-07-31 07:00:00",99,86913.07
"2013-07-31 08:00:00",19,14542.2
"2013-07-31 09:00:00",21,16401.98
"2013-07-31 10:00:00",4,2709.7
"2013-07-31 11:00:00",20,15222.91
"2013-07-31 12:00:00",8,6126.06
"2013-07-31 13:00:00",5,3817.9
"2013-07-31 14:00:00",5,3413.04
"2013-07-31 15:00:00",4,1925.61
"2013-07-31 16:00:00",7,5406.95
"2013-07-31 17:00:00",9,6509.83
"2013-07-31 18:00:00",5,2704.87
"2013-07-31 19:00:00",11,7776.71
"2013-07-31 20:00:00",14,10013.67
"2013-07-31 21:00:00",4,1442.87
"2013-07-31 22:00:00",4,1199.14
"2013-07-31 23:00:00",11,7716.71
"2013-08-01 00:00:00",15,11237.47
"2013-08-01 01:00:00",16,12001.99
"2013-08-01 02:00:00",20,15035.78
"2013-08-01 03:00:00",15,11233.7
"2013-08-01 04:00:00",15,10838.3
"2013-08-01 05:00:00",6,4140.24
"2013-08-01 06:00:00",28,23485.36
"2013-08-01 07:00:00",107,95013.11
"2013-08-01 08:00:00",9,7032.06
