"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 06:39:00","ON CPU","ON CPU","READ","","app1-host","Module4","SQL EXEC","mnyy6bt9fgmm5",1
"2013-09-01 03:35:00","ON CPU","ON CPU","READ","","app1-host","Module4","SQL EXEC","mnyy6bt9fgmm5",1
"2013-09-01 03:31:00","ON CPU","ON CPU","READ","","app1-host","Module4","SQL EXEC","mnyy6bt9fgmm5",1
"2013-09-01 03:25:00","ON CPU","ON CPU","READ","","app1-host","Module4","SQL EXEC","mnyy6bt9fgmm5",1
"2013-09-01 03:06:00","ON CPU","ON CPU","READ","","app1-host","Module4","SQL EXEC","mnyy6bt9fgmm5",1
"2013-09-01 07:21:00","Other","null event","READ","","app1-host","EMPTY","CONNECTION","",1
"2013-09-01 07:30:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 07:16:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 06:55:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 06:16:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 06:14:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 06:02:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",6
"2013-09-01 05:38:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",12
"2013-09-01 05:37:00","ON CPU","ON CPU","READ","","app1-host","Module1","SQL EXEC","vbr7dqxrcqr8u",12
"2013-09-01 08:59:00","User I/O","Disk file operations I/O","WRITE","","app4-host","Module2","SQL EXEC","9t2nc7mu3udr8",1
"2013-09-01 08:25:00","User I/O","Disk file operations I/O","WRITE","","app7-host","Module6","SQL EXEC","ar2vatnycbqpg",1
"2013-09-01 08:25:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","8dc232n385kdd",1
"2013-09-01 08:10:00","User I/O","Disk file operations I/O","WRITE","","app4-host","Module2","SQL EXEC","w7qx2ma6vxt13",1
"2013-09-01 08:10:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","zm8s31zz44520",1
"2013-09-01 08:07:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","zm8s31zz44520",1
"2013-09-01 08:08:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","2rs50zsdwagjw",1
"2013-09-01 08:02:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","8dc232n385kdd",1
"2013-09-01 08:03:00","User I/O","Disk file operations I/O","WRITE","","app7-host","Module6","SQL EXEC","byvfbtr99udpz",1
"2013-09-01 08:04:00","User I/O","Disk file operations I/O","READ","","app1-host","Module1","SQL EXEC","jjuz43bgp1dpf",1
"2013-09-01 08:05:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","2rs50zsdwagjw",1
"2013-09-01 07:56:00","User I/O","Disk file operations I/O","READ","","app1-host","Module1","SQL EXEC","1t4fgc99cz5bv",1
"2013-09-01 07:57:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","8dc232n385kdd",1
"2013-09-01 07:50:00","User I/O","Disk file operations I/O","WRITE","","app12-host","Module1","SQL EXEC","tu4g58du98bd0",1
"2013-09-01 07:49:00","User I/O","Disk file operations I/O","READ","","app1-host","Module1","SQL EXEC","wub4arj6n4kpn",1
"2013-09-01 07:44:00","ON CPU","ON CPU","READ","","db-server","Monitoring","SQL EXEC","z6my5726knsfr",1
"2013-09-01 07:40:00","User I/O","Disk file operations I/O","READ","","app4-host","Module1","SQL EXEC","65fp3qaapqhku",2
"2013-09-01 07:40:00","User I/O","Disk file operations I/O","READ","","app13-host","Module1","SQL EXEC","65fp3qaapqhku",1
"2013-09-01 07:40:00","User I/O","Disk file operations I/O","WRITE","","app1-host","Module2","SQL EXEC","z4h8ax3tvabpg",1
