"TS","SQL_ID","BUFFER_GETS","DISK_READS","EXECUTIONS","PARSE_CALLS"
2013-08-25 07:00:00,"0g949bwd9dd6s",32790320,0,1358884,1119212
2013-08-25 07:00:00,"1zs83zmz44520",14179140,50223,149767,145798
2013-08-25 07:00:00,"72g46f0rypu1v",30702119,92721,12205,4342
2013-08-25 07:00:00,"7gpq48pasy99h",14361289,14,411,163
2013-08-25 07:00:00,"8ahn83nwdmgnk",35670269,3353016,723,644
2013-08-25 07:00:00,"93n4fsz4m9vfp",15784234,363,635955,12180
2013-08-25 07:00:00,"9y7u0xn6swrnj",15572781,21,635225,11131
2013-08-25 07:00:00,"b1um5awusr3bk",13152995,303,262426,22767
2013-08-25 07:00:00,"btyy6mn9fgmm5",47037896,0,8297,8297
2013-08-25 07:00:00,"c9f4g1t9cz5bv",82135102,766121,2633287,15263
2013-08-25 07:00:00,"cjrrg729xjxs0",16696089,15852,762304,14
2013-08-25 07:00:00,"ddqma9ku89b00",25594736,17587,69131,5138
2013-08-25 07:00:00,"gf9x09u2f9xwn",15919878,34349,686464,14
2013-08-25 07:00:00,"kts18nwzj82hk",17888190,382,1191,1012
2013-08-25 07:00:00,"r15qdw8rj30dz",16252340,1,661812,409742
2013-08-25 07:00:00,"rn7hbx3xgbv0z",21408668,129398,293750,105490
2013-08-25 07:00:00,"sfsg35rcc3zhf",65975201,12118,2574954,16081
2013-08-25 07:00:00,"tff6bbwan4jqq",36156455,0,721,710
2013-08-25 07:00:00,"wmrpbrd8mm88a",28287755,0,567,294
2013-08-25 08:00:00,"0g949bwd9dd6s",31893963,0,1321622,1068094
2013-08-25 08:00:00,"1zs83zmz44520",14851582,54501,159262,154977
2013-08-25 08:00:00,"72g46f0rypu1v",31596387,92615,12636,4462
2013-08-25 08:00:00,"7gpq48pasy99h",15085002,3,437,177
2013-08-25 08:00:00,"8ahn83nwdmgnk",27136647,2292890,713,635
2013-08-25 08:00:00,"93n4fsz4m9vfp",16977844,384,680245,7689
2013-08-25 08:00:00,"9y7u0xn6swrnj",16571132,10,677609,6975
2013-08-25 08:00:00,"b1um5awusr3bk",12951105,182,253900,18122
2013-08-25 08:00:00,"btyy6mn9fgmm5",41224096,0,9442,9442
2013-08-25 08:00:00,"c9f4g1t9cz5bv",68699295,668150,2340256,10829
